x,y,z
-19.12271969246069,23.115397283273676,-180
-20.536413177860663,21.869058822642344,-180
-21.86905882264234,20.536413177860666,-180
-23.115397283273673,19.122719692460695,-180
-24.27050983124842,17.633557568774197,-180
-25.329837765060446,16.07480384936991,-180
-26.289200401315906,14.452610223051456,-180
-27.14481157398058,12.773378746952186,-180
-27.89329457664754,11.043736580540344,-180
-28.531695488854606,9.270509831248425,-180
-29.05749483385893,7.4606966149456575,-180
-29.46861752186066,5.621439437571738,-180
-29.763441039434333,3.759997006929136,-180
-29.940801852848146,1.8837155858794075,-180
-30.0,3.67394039744206e-15,-180
-29.940801852848146,-1.8837155858794004,-180
-29.763441039434337,-3.7599970069291286,-180
-29.468617521860658,-5.621439437571743,-180
-29.057494833858936,-7.460696614945637,-180
-28.53169548885461,-9.270509831248418,-180
-27.893294576647545,-11.043736580540337,-180
-27.14481157398059,-12.773378746952169,-180
-26.289200401315902,-14.452610223051462,-180
-25.329837765060457,-16.074803849369893,-180
-24.270509831248432,-17.63355756877418,-180
-23.115397283273676,-19.122719692460688,-180
-21.86905882264235,-20.536413177860652,-180
-20.53641317786066,-21.869058822642348,-180
-19.122719692460684,-23.11539728327368,-180
-17.633557568774197,-24.27050983124842,-180
-16.07480384936989,-25.32983776506046,-180
-14.452610223051458,-26.289200401315906,-180
-12.773378746952165,-27.144811573980594,-180
-11.043736580540335,-27.893294576647545,-180
-9.270509831248427,-28.531695488854606,-180
-7.460696614945633,-29.057494833858936,-180
-5.6214394375717385,-29.46861752186066,-180
-3.7599970069291375,-29.763441039434333,-180
-1.8837155858793961,-29.940801852848146,-180
-5.510910596163089e-15,-30.0,-180
1.883715585879385,-29.940801852848146,-180
3.759997006929127,-29.763441039434337,-180
5.621439437571728,-29.46861752186066,-180
7.460696614945648,-29.057494833858932,-180
9.270509831248416,-28.53169548885461,-180
11.043736580540322,-27.89329457664755,-180
12.773378746952154,-27.144811573980597,-180
14.45261022305147,-26.289200401315902,-180
16.074803849369903,-25.32983776506045,-180
17.633557568774187,-24.270509831248425,-180
19.122719692460677,-23.115397283273687,-180
20.536413177860638,-21.869058822642362,-180
21.869058822642337,-20.53641317786067,-180
23.11539728327368,-19.122719692460688,-180
24.27050983124842,-17.6335575687742,-180
25.329837765060443,-16.074803849369914,-180
26.289200401315895,-14.452610223051483,-180
27.14481157398058,-12.77337874695219,-180
27.893294576647545,-11.043736580540337,-180
28.531695488854606,-9.270509831248429,-180
29.05749483385893,-7.46069661494566,-180
29.46861752186066,-5.62143943757174,-180
29.763441039434333,-3.7599970069291393,-180
29.940801852848146,-1.883715585879398,-180
30.0,0.0,-190
29.940801852848146,1.8837155858794012,-190
29.763441039434337,3.7599970069291277,-190
29.46861752186066,5.621439437571738,-190
29.057494833858932,7.460696614945644,-190
28.531695488854606,9.270509831248422,-190
27.893294576647545,11.043736580540337,-190
27.144811573980586,12.77337874695218,-190
26.289200401315906,14.45261022305146,-190
25.329837765060454,16.0748038493699,-190
24.270509831248425,17.633557568774194,-190
23.115397283273676,19.122719692460688,-190
21.869058822642348,20.53641317786066,-190
20.53641317786066,21.869058822642348,-190
19.12271969246069,23.115397283273676,-190
17.633557568774197,24.27050983124842,-190
16.074803849369896,25.329837765060454,-190
14.452610223051455,26.28920040131591,-190
12.77337874695218,27.144811573980586,-190
11.043736580540342,27.89329457664754,-190
9.270509831248424,28.531695488854606,-190
7.460696614945642,29.057494833858932,-190
5.621439437571742,29.468617521860658,-190
3.7599970069291344,29.763441039434333,-190
1.883715585879406,29.940801852848146,-190
1.83697019872103e-15,30.0,-190
-1.8837155858794021,29.940801852848146,-190
-3.759997006929124,29.763441039434337,-190
-5.621439437571738,29.46861752186066,-190
-7.460696614945645,29.057494833858932,-190
-9.270509831248413,28.53169548885461,-190
-11.043736580540333,27.893294576647545,-190
-12.773378746952181,27.144811573980583,-190
-14.452610223051463,26.289200401315902,-190
-16.074803849369907,25.32983776506045,-190
-17.63355756877419,24.270509831248425,-190
-19.12271969246069,23.115397283273676,-190
-20.536413177860663,21.869058822642344,-190
-21.86905882264234,20.536413177860666,-190
-23.115397283273673,19.122719692460695,-190
-24.27050983124842,17.633557568774197,-190
-25.329837765060446,16.07480384936991,-190
-26.289200401315906,14.452610223051456,-190
-27.14481157398058,12.773378746952186,-190
-27.89329457664754,11.043736580540344,-190
-28.531695488854606,9.270509831248425,-190
-29.05749483385893,7.4606966149456575,-190
-29.46861752186066,5.621439437571738,-190
-29.763441039434333,3.759997006929136,-190
-29.940801852848146,1.8837155858794075,-190
-30.0,3.67394039744206e-15,-190
-29.940801852848146,-1.8837155858794004,-190
-29.763441039434337,-3.7599970069291286,-190
-29.468617521860658,-5.621439437571743,-190
-29.057494833858936,-7.460696614945637,-190
-28.53169548885461,-9.270509831248418,-190
-27.893294576647545,-11.043736580540337,-190
-27.14481157398059,-12.773378746952169,-190
-26.289200401315902,-14.452610223051462,-190
-25.329837765060457,-16.074803849369893,-190
-24.270509831248432,-17.63355756877418,-190
-23.115397283273676,-19.122719692460688,-190
-21.86905882264235,-20.536413177860652,-190
-20.53641317786066,-21.869058822642348,-190
-19.122719692460684,-23.11539728327368,-190
-17.633557568774197,-24.27050983124842,-190
-16.07480384936989,-25.32983776506046,-190
-14.452610223051458,-26.289200401315906,-190
-12.773378746952165,-27.144811573980594,-190
-11.043736580540335,-27.893294576647545,-190
-9.270509831248427,-28.531695488854606,-190
-7.460696614945633,-29.057494833858936,-190
-5.6214394375717385,-29.46861752186066,-190
-3.7599970069291375,-29.763441039434333,-190
-1.8837155858793961,-29.940801852848146,-190
-5.510910596163089e-15,-30.0,-190
1.883715585879385,-29.940801852848146,-190
3.759997006929127,-29.763441039434337,-190
5.621439437571728,-29.46861752186066,-190
7.460696614945648,-29.057494833858932,-190
9.270509831248416,-28.53169548885461,-190
11.043736580540322,-27.89329457664755,-190
12.773378746952154,-27.144811573980597,-190
14.45261022305147,-26.289200401315902,-190
16.074803849369903,-25.32983776506045,-190
17.633557568774187,-24.270509831248425,-190
19.122719692460677,-23.115397283273687,-190
20.536413177860638,-21.869058822642362,-190
21.869058822642337,-20.53641317786067,-190
23.11539728327368,-19.122719692460688,-190
24.27050983124842,-17.6335575687742,-190
25.329837765060443,-16.074803849369914,-190
26.289200401315895,-14.452610223051483,-190
27.14481157398058,-12.77337874695219,-190
27.893294576647545,-11.043736580540337,-190
28.531695488854606,-9.270509831248429,-190
29.05749483385893,-7.46069661494566,-190
29.46861752186066,-5.62143943757174,-190
29.763441039434333,-3.7599970069291393,-190
29.940801852848146,-1.883715585879398,-190
