x,y,z
1.569626845521722203e+01,-1.142251543122203969e+02,-1.433954018751340413e+02
2.130241589559657456e+01,-1.194556880231866103e+02,-1.383204456178411306e+02
2.549318455863022592e+01,-1.232095073394078497e+02,-1.342591331799815180e+02
2.831088057025072047e+01,-1.256562930614915672e+02,-1.313963091391137539e+02
2.974741142962749052e+01,-1.268793659849954025e+02,-1.298950268504612495e+02
2.972407186350402952e+01,-1.268596274325659294e+02,-1.299196462415281417e+02
2.807597967804967354e+01,-1.254547213836725206e+02,-1.316390984763373240e+02
2.454528278733869939e+01,-1.223723397339320655e+02,-1.351981492511368970e+02
1.880050786072910185e+01,-1.171505785773035626e+02,-1.406352830664541500e+02
1.051836976412302072e+01,-1.091871464438937522e+02,-1.477278949587547743e+02
-4.302566261999614672e-01,-9.789613712081259678e+01,-1.557952541512695461e+02
-1.371327009884142178e+01,-8.305071946233334756e+01,-1.636170046785633758e+02
-2.837508210168935818e+01,-6.518277101299977971e+01,-1.697116998877485230e+02
-4.303321586184281244e+01,-4.566541085423987312e+01,-1.729705540954919627e+02
-4.250040761973993142e+01,-7.361286533977701652e+01,-1.631896485951967861e+02
-3.012896501191685417e+01,-8.682820780021812368e+01,-1.594023456462069248e+02
-1.871059390615105400e+01,-9.806961617861161074e+01,-1.545582869284559138e+02
-8.610133274971207840e+00,-1.072811849728195455e+02,-1.492401184528306146e+02
0.000000000000000000e+00,-1.146001965099535624e+02,-1.439541418642757833e+02
7.074760461537783485e+00,-1.202466382396935956e+02,-1.390923928777706919e+02
1.262840843052478590e+01,-1.244443900815200124e+02,-1.349448668077090758e+02
1.668041416288352607e+01,-1.273749210637565170e+02,-1.317322787602054177e+02
1.921627714344521465e+01,-1.291513527334477089e+02,-1.296405136516624168e+02
2.015817983961748538e+01,-1.297997654049610787e+02,-1.288474628635376575e+02
1.934105192887726332e+01,-1.292376052734477128e+02,-1.295359606189300337e+02
1.649516375167383941e+01,-1.272434021866954765e+02,-1.318826227095909758e+02
1.124884065581180259e+01,-1.234210808894872287e+02,-1.360025748872822078e+02
3.187771157596136273e+00,-1.171855860869221431e+02,-1.418216363201022716e+02
-7.968928460602513475e+00,-1.078431144717545322e+02,-1.488702752070467739e+02
-2.204909915929224695e+01,-9.487488280295821141e+01,-1.561044324783528907e+02
-3.812112199661257961e+01,-7.841834296947705241e+01,-1.620288355313363695e+02
-5.457289624262353556e+01,-5.959714515007721758e+01,-1.653057146188614581e+02
-6.971863071953427493e+01,-4.023922445922449498e+01,-1.654572976496152137e+02
-4.970577575717913987e+01,-8.609292904105963373e+01,-1.548332762215800074e+02
-3.724361046160520772e+01,-9.723955101488724040e+01,-1.517016255621783216e+02
-2.580438532916414829e+01,-1.066063478384461831e+02,-1.477336126219495043e+02
-1.569626845521722203e+01,-1.142251543122203969e+02,-1.433954018751340413e+02
-7.074760461537783485e+00,-1.202466382396935956e+02,-1.390923928777706919e+02
0.000000000000000000e+00,-1.248621903680374601e+02,-1.351496704268862175e+02
5.505562615722494613e+00,-1.282503059542264907e+02,-1.318239272777581448e+02
9.409138517797277501e+00,-1.305437168025414962e+02,-1.293282881496957657e+02
1.162872243982662823e+01,-1.318071488840980408e+02,-1.278579223883396168e+02
1.199932802809345844e+01,-1.320152207592192894e+02,-1.276087677817194646e+02
1.024252788184731067e+01,-1.310215643721157051e+02,-1.287805897333643657e+02
